id,telecallerId,leadId,client,status,comments,calledAt,createdAt
00028a99-c401-4048-9b75-b923cff55a79,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,724467a5-52d1-4989-a870-99ae65d3e0e8,Amazon Flex,Not Interested - Applied by Mistake,,2019-07-25T17:00:00Z,2019-12-26T17:32:49.297Z
00033b17-3a2a-4769-8623-bb00adf1e4c5,4248b521-ce3f-4897-a30d-35c9ee81f746,65d4429f-cb34-436d-9020-1fd6f364367f,KFC,RNR,,2019-10-10T17:30:00Z,2019-12-26T18:09:38.408Z
0003dcc7-05d0-4736-a415-5e67ea95c24e,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,fea7fb85-3355-4747-98fd-dae1b9aca52a,Lalamove,Not Interested - Disconnected the Call,,2019-08-30T14:00:00Z,2019-12-26T17:42:55.007Z
00042f93-1e19-418f-bf38-1a8a8f758952,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,3308d114-a9ed-4d81-8d08-50b28171790f,Zomato,Not Interested,Not Looking for Job,2020-06-01T10:30:00Z,2019-12-26T17:26:36.333Z
0006f07e-f4d1-4387-8540-fc8bf6e67676,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,924cdffb-693f-4870-8179-d80571e1fc85,,Not Applied,,2020-04-01T10:30:00Z,2019-12-26T17:21:12.255Z
0010a421-c7cf-4797-8d79-ed36be8e4733,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,7d6c782f-504f-4a50-8b4e-5f22d0929788,Swiggy,RNR,,2019-11-04T16:30:00Z,2019-12-26T18:08:22.382Z
00116d98-583e-42a4-9f68-c149a9c92870,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,8ebd0975-35dd-47ce-bb98-e24032164319,Swiggy,CNP/Switched Off/Not Reachable,,2019-08-06T14:00:00Z,2019-12-26T17:31:22.377Z
0015864a-7a89-49ef-a236-f4cfa504d431,4248b521-ce3f-4897-a30d-35c9ee81f746,1ad38259-a8a7-4b70-b72a-0c5ab046ee99,Amazon Flex,CNP/Switched Off/Not Reachable,,2019-08-07T15:30:00Z,2019-12-26T17:40:36.254Z
002579b4-623a-4ef1-a224-245e0cd1959c,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,f721c4a7-ca75-4b94-9aed-348c8a845716,Lynk,RNR,,2019-10-15T14:30:00Z,2019-12-26T18:08:20.367Z
002bcb54-b460-49e7-8fc6-9bd2a62246f0,4248b521-ce3f-4897-a30d-35c9ee81f746,4f88e0a6-d944-4425-84bd-2a7cb1e5a266,Swiggy,CNP/Switched Off/Not Reachable,,2019-08-01T15:30:00Z,2019-12-26T17:36:12.462Z
003cf6d3-cef9-4d5a-9641-af08d92a3846,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,adf2d5d6-726d-4f40-86f9-e5483f1642c0,Zomato,Language Barrier,,2019-10-10T14:00:00Z,2019-12-26T18:08:22.201Z
003def6b-a7a1-44c2-889e-f18a03748530,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ef0de1d3-3c4f-4f9f-9326-ff974af559c6,Lynk (N),RNR,,2019-10-21T16:00:00Z,2019-12-26T18:08:22.693Z
00459548-531d-438b-9531-faf2fdd3e2ad,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,55d3c9bf-3354-4b8f-abe4-106015b0077c,Swiggy,Joined,Not Shared partner id,2019-07-30T12:00:00Z,2019-12-26T17:31:26.230Z
0048954a-1c30-4f35-8a5f-b3ff528e8fce,4248b521-ce3f-4897-a30d-35c9ee81f746,f14e3921-fe25-4344-8a3d-a261e2a258cc,Zomato,Very Interested,Going on Sat,2019-08-08T11:00:00Z,2019-12-26T17:52:58.332Z
005d4277-0bfa-42c9-a001-5de7b687ef55,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,b62a34a8-11c5-4f60-93dd-e9405e0a51cf,Rapido,Got Other Jobs,Joined other Company,2020-05-01T10:30:00Z,2019-12-26T17:22:23.535Z
006bc2d3-9a01-4018-816a-1ecf87ae33cc,4248b521-ce3f-4897-a30d-35c9ee81f746,c3054421-6f40-4573-a33e-a092649cc1fb,Swiggy,Wrong Number/Number Not Valid,,2019-08-05T12:30:00Z,2019-12-26T17:36:17.400Z
006c5613-b499-4a00-ad9a-350f8528d007,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,f23f7887-3a39-4d94-877a-ace7bd559ba1,Swiggy,Joined,Not Shared partner id,2019-07-26T12:30:00Z,2019-12-26T17:31:26.082Z
007682c3-23fd-44c9-80a8-9f56a9a313d8,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,3408a71e-7d62-4a5d-b605-1a08ff718231,BharatPe,Very Interested,Going on Mon,2020-05-01T10:30:00Z,2019-12-26T17:22:23.710Z
007a4e75-60d0-42ab-9a54-b3b7a76e960a,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,5f7a107b-3d12-43a8-948d-1a3903a82082,Uber Eats,Wrong Number/Number Not Valid,,2019-11-12T15:00:00Z,2019-12-26T18:17:14.858Z
007ad0b5-f972-4f52-8048-535b58f839b5,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,1b514ba4-e693-41be-b4a6-a47326fab2a2,Random,Other Reasons,Status pending (working as a driver),2019-11-18T15:00:00Z,2019-12-26T18:17:17.517Z
007c7835-43d1-40b3-a731-d3b4ca1c95aa,4248b521-ce3f-4897-a30d-35c9ee81f746,d33f3031-5843-4ec9-9212-9ed3ccd78cbd,Zomato,CNP/Switched Off/Not Reachable,,2019-08-20T10:00:00Z,2019-12-26T17:52:57.274Z
00841f79-fe7a-434b-966e-fd75202fcf44,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,65314baf-f16c-44d6-91cf-2cb6ab6daf34,,CNP/Switched Off/Not Reachable,,2020-04-01T10:30:00Z,2019-12-26T17:21:12.927Z
00845041-eff0-4a9a-b04b-443164c83d3e,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ba89f368-59c4-4373-b31d-ec01df827db3,Uber eats,RNR,,2019-11-06T15:00:00Z,2019-12-26T18:17:16.627Z
00858659-9a07-401e-808b-37f02c8fa70b,89b29324-8f3b-4b50-b3f7-0a3e0918e4d2,4c8dc8d1-5493-4579-9151-f38a50e9af2e,Zomato,CNP/Switched Off/Not Reachable,,2019-08-20T12:00:00Z,2019-12-26T17:47:37.553Z
0087d3f4-6ef0-45f4-95a9-6aee0247d65f,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,a418f0c1-4a44-4660-8a67-17ea38727ee7,Zomato,Very Interested,Going on Monday,2020-04-01T10:30:00Z,2019-12-26T17:21:11.476Z
00899da7-0431-4766-b120-70e2166a8ad9,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ac809e70-d08b-4196-9052-1eee7e9c8f7d,Move in sync,Not Interested - Disconnected the Call,,2019-12-05T14:00:00Z,2019-12-26T18:17:18.615Z
0091184d-b0b4-4515-94ab-22ef9a81b14d,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,8f556840-b15e-4c97-a6b3-21b148db484b,Swiggy,Switched Off/Not Reachable/No Incoming,,2019-11-01T12:00:00Z,2019-12-26T18:08:20.939Z
0098b53e-1cf9-4e86-afbe-bc0fcdb2ed75,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,63bfea4b-e06b-47b2-b13e-ebd2f642b5f4,Uber eats,Switched Off/Not Reachable,,2019-11-07T16:00:00Z,2019-12-26T18:17:20.052Z
009f9335-c76c-48fb-a48c-421b432ad086,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,c820ae25-032b-434c-aa76-f2cbf69d74be,Swiggy,CNP/Switched Off/Not Reachable,,2019-07-30T14:30:00Z,2019-12-26T17:31:26.319Z
00a425c4-4631-42e1-b2aa-6d1a224c9103,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,d53fc280-a97f-4272-8006-3f4a001435c4,Zomato,Don't Meet Requirements,No DL,2020-05-01T10:30:00Z,2019-12-26T17:22:22.622Z
00a7aa89-a571-44d7-a9d6-f680b8824942,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,cf3f7eaa-d734-4091-97bf-187121c9e176,Zomato,CNP/Switched Off/Not Reachable,,2019-07-23T14:00:00Z,2019-12-26T17:32:22.166Z
00a9a118-189c-42ea-b504-85b5fc7775fe,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,bdee56b6-b910-4189-b166-5d2c1a044ad4,Swiggy,Not Interested - Location Issue,Out of hyderabad,2019-08-05T17:30:00Z,2019-12-26T17:31:26.861Z
00ae3b34-83f8-42be-b811-c2649cb379ad,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ae2654d0-7a50-4a79-a468-3c5a50d5b16a,Zomato,CNP/Switched Off/Not Reachable,,2020-06-01T10:30:00Z,2019-12-26T17:26:38.618Z
